Title,Link,Price,Currency,Attributes,Zone
FAM Huemul,https://www.portalinmobiliario.com/MLC-1472798553-fam-huemul-_JM#position=1&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,275000,"1 a 2 dormitorios, 1 a 2 baños, 27 a 52 m² útiles",Santiago
Ciudadano Echaurren,https://www.portalinmobiliario.com/MLC-2202758532-ciudadano-echaurren-_JM#position=2&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,300000,"1 a 2 dormitorios, 1 a 2 baños, 30 a 56 m² útiles",Santiago
INSITU Echaurren,https://www.portalinmobiliario.com/MLC-1430722703-insitu-echaurren-_JM#position=3&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,378000,"1 a 2 dormitorios, 1 a 2 baños, 22 a 62 m² útiles",Santiago
Home Inclusive Ejército,https://www.portalinmobiliario.com/MLC-1471481951-home-inclusive-ejercito-_JM#position=4&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,290000,"1 a 2 dormitorios, 1 a 2 baños, 25 a 52 m² útiles",Santiago
Matucana,https://www.portalinmobiliario.com/MLC-2438882302-matucana-_JM#position=5&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,270000,"1 a 2 dormitorios, 1 a 2 baños, 29 a 49 m² útiles",Santiago
Portugal,https://www.portalinmobiliario.com/MLC-1486877875-portugal-_JM#position=6&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,320000,"1 a 4 dormitorios, 1 a 4 baños, 31 a 101 m² útiles",Santiago
Morandé Sur,https://www.portalinmobiliario.com/MLC-1486791691-morande-sur-_JM#position=7&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,300000,"1 dormitorio, 1 baño, 22 a 39 m² útiles",Santiago
50% desc. deptos. nuevos Home Inclusive Carmen,https://www.portalinmobiliario.com/MLC-2374847294-50-desc-deptos-nuevos-home-inclusive-carmen-_JM#position=8&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,267750,"1 a 2 dormitorios, 1 a 2 baños, 24 a 58 m² útiles",Santiago
Edificio Claudio Gay,https://www.portalinmobiliario.com/MLC-1464215105-edificio-claudio-gay-_JM#position=9&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,280000,"1 a 2 dormitorios, 1 a 2 baños, 30 a 54 m² útiles",Santiago
Midtown Santiago,https://www.portalinmobiliario.com/MLC-2415733398-midtown-santiago-_JM#position=10&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,310000,"1 dormitorio, 1 baño, 30 a 32 m² útiles",Santiago
San Isidro,https://www.portalinmobiliario.com/MLC-1472798125-san-isidro-_JM#position=11&search_layout=grid&type=item&tracking_id=8cc61350-2059-460b-8a68-e987ff9dcd77,pesos,237205,"2 dormitorios, 1 a 2 baños, 22 a 56 m² útiles",Santiago
